manufacturer,model,model_year_introduced,curent_model-year,vehicle_type,tax_credit_amount,msrp_limit,assembled_in _usa
Audi,Q5 TFSI e Quattro (PHEV),,2023,PHEV,7500,80000,TRUE
BMW,330e,2021,2023,PHEV,5836,55000,TRUE
BMW,X5 xDrive45e,2021,2023,PHEV,7500,80000,TRUE
BMW,X5 xDrive50e,,2024,PHEV,7500,80000,TRUE
Cadillac,Lyriq,2022,2024,EV,7500,80000,TRUE
Chevrolet,Bolt,2022,2024,EV,7500,55000,TRUE
Chevrolet,Bolt EUV,2022,2024,EV,7500,55000,TRUE
Chevrolet,Silverado EV,,2024,EV,7500,80000,TRUE
Chrysler,Pacifica PHEV,2022,2023,PHEV,7500,80000,TRUE
Ford,E-Transit,2022,2023,EV,7500,80000,TRUE
Ford,Escape Plug-In Hybrid,,2022,PHEV,6843,80000,TRUE
Ford,Escape Plug-In Hybrid,,2023,PHEV,6885,80000,TRUE
Ford,F-150 Lightning,2022,2023,EV,7500,80000,TRUE
Ford,Mustang Mach-E,2022,2023,EV,7500,80000,TRUE
Genesis,Electrified GV70,2022,2024,EV,7500,80000,TRUE
Jeep,Grand Cherokee 4xe,2022,2024,PHEV,7500,80000,TRUE
Jeep,Wrangler 4xe,2022,2024,PHEV,7500,80000,TRUE
Lincoln,Aviator Grand Touring,2022,2024,PHEV,6534,80000,TRUE
Lincoln,Corsair Grand Touring,,2022,PHEV,6843,80000,TRUE
Lincoln,Corsair Grand Touring,,2023,PHEV,6885,80000,TRUE
Mercedes-Benz,EQE 350 SUV,,2023,EV,7500,80000,TRUE
Nissan,Leaf S,2021,2023,EV,7500,55000,TRUE
Nissan,Leaf S Plus,2021,2022,EV,7500,55000,TRUE
Nissan,Leaf SL Plus,2021,2022,EV,7500,55000,TRUE
Nissan,Leaf SV,2021,2022,EV,7500,55000,TRUE
Nissan,Leaf SV Plus,2021,2023,EV,7500,55000,TRUE
Rivian,R1S,2021,2023,EV,7500,80000,TRUE
Rivian,R1T,2021,2023,EV,7500,80000,TRUE
Tesla,Model 3 Long Range,2021,2023,EV,7500,55000,TRUE
Tesla,Model 3 Performance,2021,2023,EV,7500,55000,TRUE
Tesla,Model 3 RWD,2021,2023,EV,7500,55000,TRUE
Tesla,Model Y All-Wheel Drive,2021,2023,EV,7500,80000,TRUE
Tesla,Model Y Long Range,2021,2023,EV,7500,80000,TRUE
Tesla,Model Y Performance,2021,2023,EV,7500,80000,TRUE
Volkswagen,ID.4,,2023,EV,7500,80000,TRUE
Volkswagen,ID.4 AWD Pro,,2023,EV,7500,80000,TRUE
Volkswagen,ID.4 AWD Pro S,,2023,EV,7500,80000,TRUE
Volkswagen,ID.4 Pro,,2023,EV,7500,80000,TRUE
Volkswagen,ID.4 Pro S,,2023,EV,7500,80000,TRUE
Volkswagen,ID.4 S,,2023,EV,7500,80000,TRUE
Volvo,S60 (PHEV),,2022,PHEV,5419,55000,TRUE
Volvo,S60 Extended Range,,2022,PHEV,7500,55000,TRUE
Volvo,S60 T8 Recharge (Extended Range),,2023,PHEV,7500,55000,TRUE
